CC,Soc,Ec,Name,Link,Key-word,Web,Score,,,
1,0,1,Marine ecology and Conservation. The Essington Research Group,https://faculty.washington.edu/essing/,"Marine ecology, conservation, fisheries",2,2,,,
1,0,1,O´Connor Lab: Unifying ecological understanding across scales,http://oconnorlab.weebly.com/,"Biodiversity, ecosystem functions, climate change ecology",1,3,,,
1,0,1,MoraLab (making the world a better place one paper at a time),http://www.soc.hawaii.edu/mora/index.html,.,1,3,,,
0,1,1,Gaines Lab,http://gaineslab.msi.ucsb.edu/,"Conservation biology, sustainable fisheries, climate change, biogeography, marine ecology, biostatistics",1,2,,,
0,1,1,Basurto Lab,http://sites.nicholas.duke.edu/xavierbasurto/,"Adaptation?, marine-environments, understanding interactions, human-environment, policy management",3,2,,,
0,1,1,Marine Spatial Ecology Lab (MSEL),http://www.marinespatialecologylab.org/people/yves-marie-bozec/,.,1,2,,,
0,1,1,Sebastián Villasante ,http://sebastianvillasante.weebly.com/,.,3,3,,,
0,1,1,Leslie Lab: Marine Conservation Science,https://umaine.edu/leslie-lab/links/heather-leslie/,"Ocean, ecosystem-based management, conservation science, stewardship needs.",1,2,,,
0,1,1,Crowder lab,http://crowder.stanford.edu/ourens.html,,1,3,,,
1,1,1,Daniel Pauly ,http://oceans.ubc.ca/daniel-pauly/,,1,3,,,
1,1,1,Ingrid Van Putten,http://people.csiro.au/V/I/Ingrid-Vanputten,"Human dimesion, social and economic behaviour modelling, ",1,2,,,
1,1,1,Ben Halpern Research group,https://benhalpernlab.org/,.,1,3,,,
1,1,1,The Cinner research group on the Human Dimensions of Coral Reefs,https://www.coralcoe.org.au/the-cinner-research-group,"Coral reef ecosystem, dynamics multiscale, and macroevolution, reef resilience",1,3,,,
1,1,1,Issuelab. A service of Foundation center.,http://fisheries.issuelab.org/?coverage&author=&funder&publisher&categories&wikitopic_categories%5B%5D=&keywords=&pubdate_start_year=1970&pubdate_start_month=01&pubdate_start_day=01&pubdate_end_year=2016&pubdate_end_month=10&pubdate_end_day=04&sort=,Sustainable fisheries,1,2,,,
1,1,1,Connecting Human and Natural Systems Lab  (CHANSLAB),http://chanslab.ires.ubc.ca/collaborators/,,1,2,,,
1,1,1,Micheli Lab,http://micheli.stanford.edu/micheli.html,"Ecology, acid ocean, social-ecological coastal system",1,2,,,
1,1,1,Marina Lab,http://www.marinalab.org/edwardallison/,Marine socio-ecological system.Policy analysis. Small-scale fisheries. Marine conservation.,3,3,,,
1,1,1,Coastal Marine Ecology and Conservation Lab,https://cmeclab.com/teaching/,.,1,3,,,
1,1,1,The Hellmann Lab,https://jessicajhellmann.wordpress.com/,,1,2,,,
1,1,0,ECRG. Environmental Change Research Group ,http://www.envchange.com/,,2,2,,,
1,0,0,Clark Labs. Climate Change Adaptation Modeler in TerrSet,https://clarklabs.org/terrset/climate-change-adaptation-modeler/,,1,2,,,
1,0,0,Climate change adaptation Research Group,http://www.jamesford.ca/about,,3,3,,,
0,0,0,Ray Hilborn´s web site  (Hilborn´s lab),https://rayhblog.wordpress.com/,,1,2,,,
0,0,1,Pinsky lab : Global Change Ecology and Evolution in the Sea,http://pinsky.marine.rutgers.edu/,,1,2,,,
0,0,1,Fisheries Ecology group (Instituto de Investigaciones marinas-CSIC),http://pesquerias.iim.csic.es/?lang=gl,,1,2,,,
0,0,1,Canning-Clode Marine Lab,http://nutelapat.wixsite.com/canningclode/ignacio-gestoso,"Invasion science, biofuling, biodiversity, Biogeography, ecology, climate change",1,3,,,
0,0,1,Behavioural ecology lab (Uvigo),http://avelando.webs.uvigo.es/index.html#The%C2%A0Animal_Ecology%C2%A0Group,,1,2,,,
,,0,Erenea. Economía dos recursos naturais e ambientais.,http://erenea.uvigo.es/,,1,2,,,
0,1,0,Resource Economics and Policy Lab,http://www.des.ucdavis.edu/faculty/Sanchirico/,"Evaluation of policy instruments, conservations of natural resources. Economy",1,2,,,
1,1,1,,http://www.usc.edu.au/connect/research-and-innovation/sustainability-and-environment/sustainability-research-centre,,2,3,,,
1,1,1,"Marine Hotspots. Networking Across Global marine ""hotspots"" (Authors database)",http://www.marinehotspots.org/index.php/hotspots/south-east-australia/who-are-we,,2,3,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
