"Topic","Name","Country","Web","Score","Link"
"Ec-CC","Marine ecology and Conservation. The Essington Research Group","Australia",1,1,"<a href="http://faculty.washington.edu/essing/">Inicio</a>"
"Ec-CC","O?Connor Lab: Unifying ecological understanding across scales","Canada",2,3,"http://oconnorlab.weebly.com/"
"Ec-CC","MoraLab (making the world a better place one paper at a time)","EEUU",3,3,"http://www.soc.hawaii.edu/mora/index.html"
"Ec-Soc","Gaines Lab","EEUU",2,1,"http://gaineslab.msi.ucsb.edu/"
"Ec-Soc","Basurto Lab","EEUU",3,1,"http://sites.nicholas.duke.edu/xavierbasurto/"
"Ec-Soc","Marine Spatial Ecology Lab (MSEL)","EEUU",6,1,"http://www.marinespatialecologylab.org/people/yves-marie-bozec/"
"Ec-Soc","Sebasti?n Villasante","Spain",4,3,"http://sebastianvillasante.weebly.com/"
"Ec-Soc","Leslie Lab: Marine Conservation Science","EEUU",2,1,"https://umaine.edu/leslie-lab/links/heather-leslie/"
"Ec-Soc","Crowder lab","EEUU",3,3,"http://crowder.stanford.edu/ourens.html"
"Ec-Soc-CC","Daniel Pauly","Canada",2,3,"http://oceans.ubc.ca/daniel-pauly/"
"Ec-Soc-CC","Ingrid Van Putten","Australia",1,2,"http://people.csiro.au/V/I/Ingrid-Vanputten"
"Ec- Soc-CC","Ben Halpern Research group","EEUU",4,3,"https://benhalpernlab.org/"
"Ec-Soc-CC","The Cinner research group on the Human Dimensions of Coral Reefs","Australia",4,3,"https://www.coralcoe.org.au/the-cinner-research-group"
"Ec-Soc-CC","Issuelab. A service of Foundation center.","EEUU",3,3,"http://fisheries.issuelab.org/?coverage&author=&funder&publisher&categories&wikitopic_categories%5B%5D=&keywords=&pubdate_start_year=1970&pubdate_start_month=01&pubdate_start_day=01&pubdate_end_year=2016&pubdate_end_month=10&pubdate_end_day=04&sort="
"Ec-Soc-CC","Connecting Human and Natural Systems Lab  (CHANSLAB)","Canada",2,3,"http://chanslab.ires.ubc.ca/collaborators/"
"Ec-Soc-CC","Micheli Lab","EEUU",3,1,"http://micheli.stanford.edu/micheli.html"
"Ec-Soc-CC","Marina Lab","Canada",3,3,"http://www.marinalab.org/edwardallison/"
"Ec-Soc-CC","Coastal Marine Ecology and Conservation Lab","Canada",1,3,"https://cmeclab.com/"
"Ec-Soc-CC","The Hellmann Lab","EEUU",2,2,"https://jessicajhellmann.wordpress.com/"
"Soc-CC","ECRG. Environmental Change Research Group","Australia",1,2,"http://www.envchange.com/"
"CC","Clark Labs. Climate Change Adaptation Modeler in TerrSet","EEUU",3,1,"https://clarklabs.org/terrset/climate-change-adaptation-modeler/"
"CC","Climate change adaptation Research Group","Canada",1,3,"http://www.jamesford.ca/about"
"Ec","Ray Hilborn?s web site  (Hilborn?s lab)","EEUU",1,1,"https://rayhblog.wordpress.com/"
"Ec","Pinsky lab : Global Change Ecology and Evolution in the Sea","Canada",3,1,"http://pinsky.marine.rutgers.edu/"
"Ec","Fisheries Ecology group (Instituto de Investigaciones marinas-CSIC)","Spain",2,1,"http://pesquerias.iim.csic.es/?lang=gl"
"Ec","Canning-Clode Marine Lab","Portugal",3,3,"http://nutelapat.wixsite.com/canningclode/ignacio-gestoso"
"Ec","Behavioural ecology lab (Uvigo)","Spain",2,1,"http://avelando.webs.uvigo.es/"
"Econ","Erenea. Econom?a dos recursos naturais e ambientais.","Spain",3,1,"http://erenea.uvigo.es/"
"Soc","Resource Economics and Policy Lab","EEUU",2,1,"http://www.des.ucdavis.edu/faculty/Sanchirico/"
"Ec-Soc-CC","Sustainability Research Center","Australia",1,3,"http://www.usc.edu.au/connect/research-and-innovation/sustainability-and-environment/sustainability-research-centre"
"Ec-Soc-CC","Marine Hotspots. Networking Across Global marine hotspots (Authors database)","South Africa, Kenya, UK, Australia",2,3,"http://www.marinehotspots.org/index.php/hotspots/south-east-australia/who-are-we"
